institution,course_name,url,badges,also_offered_with_languages,partner_subjects,raw_variant_count
Plymouth,BSc (hons) politics,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics,"Sandwich year, Year abroad",,,1
Plymouth,BSc (hons) international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-international-relations,"Foundation year, Sandwich year, Year abroad",,,2
Plymouth,BSc (hons) politics & international relations,https://www.plymouth.ac.uk/courses/undergraduate/bsc-politics-and-international-relations,"Sandwich year, Year abroad",,,1
Nottingham,BSc (hons) Politics and International Relations - Quantitative Methods,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Politics-and-International-Relations-Quantitative-Methods-BSc-Hons-U6UPIRQM.html,,,,1
Nottingham,BA (hons) international security studies,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/international-security-studies-ba-U6UINTSS.html,"Sandwich year, Year abroad",,,1
Nottingham,BA (hons) politics & international relations,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Politics-and-International-Relations-BA-Hons-U6UPLTIR.html,Sandwich year,,,1
Nottingham Trent,BA (hons) international relations,https://www.ntu.ac.uk/course/social-sciences/ug/ba-hons-international-relations,Sandwich year,,,2
Southampton,BSc (hons) politics,https://www.southampton.ac.uk/courses/politics-degree-bsc,,,,1
Southampton,BSc (hons) international relations,https://www.southampton.ac.uk/courses/international-relations-degree-bsc,Sandwich year,,,1
Southampton,BSc (hons) politics & international relations,https://www.southampton.ac.uk/courses/politics-international-relations-degree-bsc,,,,1
Reading,BSc (hons) international development,https://www.reading.ac.uk/ready-to-study/study/subject-area/international-development-ug/bsc-international-development,"Sandwich year, Year abroad",French,,2
Reading,BSc (hons) international development with placement year,https://www.reading.ac.uk/ready-to-study/study/subject-area/international-development-ug/bsc-international-development-with-placement-year,Sandwich year,,,1
Reading,BA (hons) politics & international relations,https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-ug/ba-politics-and-international-relations,"Foundation year, Sandwich year, Year abroad",,,1
Reading,BA (hons) politics & international relations with international foundation year,https://www.reading.ac.uk/ready-to-study/study/subject-area/international-foundation-programme-ifp-ug/ba-politics-and-international-relations-ifp-september,Foundation year,,,1
Reading,BA (hons) politics & international relations with placement year,https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-ug/ba-politics-and-international-relations-with-placement-year,Sandwich year,,,1
Reading,BA (hons) modern languages & international relations,https://www.reading.ac.uk/discover/Ready-to-Study/study/subject-area/languages-and-cultures-ug/ba-modern-languages-and-international-relations,Year abroad,,modern languages,1
Reading,"BA (hons) war, peace & international relations",https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-ug/ba-war-peace-and-international-relations,"Sandwich year, Year abroad",,"war, peace",1
Reading,"BA (hons) war, peace & international relations with placement year",https://www.reading.ac.uk/ready-to-study/study/subject-area/politics-ug/ba-war-peace-and-international-relations-with-placement-year,Sandwich year,,"war, peace",1
Reading,BA (hons) international development,https://www.reading.ac.uk/ready-to-study/study/subject-area/languages-and-cultures-ug/ba-spanish-and-international-development,Year abroad,Spanish,,1
Portsmouth,BA (hons) international relations & politics,https://www.port.ac.uk/study/courses/ba-hons-international-relations-and-politics,"Foundation year, Sandwich year, Year abroad",,,2
Portsmouth,BA (hons) international relations,https://www.port.ac.uk/study/courses/ba-hons-international-relations,"Foundation year, Sandwich year, Year abroad",,,2
Portsmouth,BA (hons) international development,https://www.port.ac.uk/study/courses/ba-hons-international-development,"Foundation year, Sandwich year, Year abroad",,,2
